claim_id,claim_text,classification,source_institution,url,data_period,verified,notes
C-13,"BEOE registration only captures work-permit emigrants; student-visa, immigrant-visa, third-country-transfer, and visit-visa-then-job emigrants are excluded, meaning BEOE's skilled-emigration totals are a floor, not a ceiling",ANALYSIS,"Gulf Research Center/KAS policy brief (2025)",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,N/A,yes,"Directly read; this is the source's own interpretive caveat about its data, not a measured figure. Important for explaining the BEOE-vs-PIDE-model discrepancy (see C-14/C-15)."
C-14,"A PIDE-linked economic model estimates that if 100,000 skilled professionals emigrate annually, gross income lost to destination economies is $4.8 billion, and the net opportunity cost to Pakistan after remittances is $4.2 billion",ESTIMATE,"PIDE, via Profit by Pakistan Today / Express Tribune / Daily Times (Jul 2025)",https://profit.pakistantoday.com.pk/2025/07/28/pakistans-brain-drain-costs-economy-4-2-billion-annually-despite-growing-remittances-report/,"2025 (report date; scenario modeled, not a specific historical year)",no,"[VERIFY] Could not directly open PIDE's original report or any of the three outlets reporting it (all returned 403). Explicitly a scenario ('if 100,000 emigrate annually') - the actual BEOE 'highly skilled'+'highly qualified' combined 2024 total was ~49,000 (C-11), and occupation-specific categories like doctors/engineers/accountants are far smaller than 100,000 combined - so this is a hypothetical upper-bound scenario, not a measured actual-year figure. Must be labeled as such if used."
C-15,"Estimated cost to train one doctor in Pakistan is roughly $25,000; at an assumed 10,000 doctors emigrating annually, that is ~$250 million/year in training-investment loss",ESTIMATE,"PIDE-linked figure, via Profit by Pakistan Today / Express Tribune / Daily Times / Stratheia (Jul 2025)",https://profit.pakistantoday.com.pk/2025/07/28/pakistans-brain-drain-costs-economy-4-2-billion-annually-despite-growing-remittances-report/,2025,no,"[VERIFY] Same access failure as C-14. The '10,000 doctors/year' assumption is roughly 2.6-2.7x BEOE's own registered doctor-emigration figures (C-02: 3,795 in 2025; C-03: 3,642 in 2024). This is a real, unresolved discrepancy - see C-13 for a partial explanation (BEOE undercounts), but it is not fully reconciled. Do not present '10,000 doctors' or '$250 million' as settled counts."
C-16,"Khan and Ahmad (2024, PIDE) calculated Pakistan suffered a productivity loss of US$303.4 billion in 2023, based on migrants' contribution to global GDP minus remittances received",ESTIMATE,"PIDE (Khan & Ahmad, 2024), as cited in Henna Ahsan, 'Brain drain in Pakistan: causes, consequences and way forward,' PIDE, 01 Oct 2024",https://file.pide.org.pk/pdfpideinpress/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,2023,yes,"Directly read the Ahsan (2024) PIDE-published piece containing this claim. The underlying Khan and Ahmad (2024) paper itself was not accessed, so the methodology is not independently confirmed. [VERIFY before use] - at ~80% of Pakistan's entire GDP, this figure almost certainly reflects the cumulative diaspora stock's productive value in one year, not the marginal cost of 2023's new outflow alone. Must not be conflated with C-14/C-15's annual-flow figures."
C-17,"Graduate unemployment in Pakistan is 16%, vs. overall unemployment of ~5%",REPORTED,"Ahsan and Khan (2024), PIDE, as cited in Ahsan 2024",https://file.pide.org.pk/pdfpideinpress/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,2024,yes,"Directly read the citing document; underlying Ahsan and Khan (2024) study not independently opened."
C-18,"37% of Pakistanis surveyed want to leave the country (PIDE survey, Nayab 2022); a separate PIDE survey found 78% wanted to leave for better income",REPORTED,"PIDE (Nayab 2022; Haque and Nayab 2021), as cited in Ahsan 2024",https://file.pide.org.pk/pdfpideinpress/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,2021-2022,yes,"Directly read the citing document; underlying survey methodology not independently reviewed."
C-19,"FY2025-26 total remittances reached a record $41.6 billion, up 8.6% from FY2024-25's $38.3 billion",REPORTED,"State Bank of Pakistan data, via Business Recorder",https://www.brecorder.com/news/40429381/fy26-record-usd416bn-home-remittances-received,FY2025-26 vs FY2024-25,no,"SBP's own remittance data page (sbp.org.pk/ecodata/Homeremittances.pdf) returned 403 on direct fetch; relying on Business Recorder's reporting of SBP data."
C-20,"FY2025-26 top remittance sources: Saudi Arabia $9.78bn, UAE $8.81bn, UK $6.33bn, EU countries $5.23bn",REPORTED,"SBP data, via Business Recorder/Gulf News",https://gulfnews.com/world/asia/pakistan/saudi-arabia-uae-drive-pakistan-remittances-to-record-416bn-1.500602356,FY2025-26,no,"Same access caveat as C-19."
C-21,"In 2023, Saudi Arabia, UAE, and Qatar together received 82% of all Pakistani migrants and contributed about 46% of all remittances sent home that year; remittances equal ~8% of Pakistan's GDP",VERIFIED,"Gulf Research Center/KAS policy brief (2025), citing SBP data",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,2023,yes,"Directly read the full PDF. This is the core evidentiary claim for the thesis's remittance-source argument."
C-22,"Individual UK-based professional migrants remit considerably more per person than the Gulf average, even though Gulf countries send larger total remittances due to sheer worker volume",REPORTED,"Express Tribune, 'Remittances expose Gulf dependency'",https://tribune.com.pk/story/2607597/remittances-expose-gulf-dependency,undated (2025-2026),no,"[VERIFY - highest priority] Could not directly open this article (403); relying on WebSearch's summary only. This is the single most important claim to verify before scripting - if true, it means the skilled cohort's lower aggregate remittance share is explained by population size, not lower per-person contribution, which materially softens the 'they don't send money back' framing and must be represented honestly, not dropped."
C-23,"Pakistan has 319,000 registered doctors as of the Economic Survey 2024-25 (June 2025), plus 39,088 dentists, 138,000 nurses, 46,801 midwives, 29,000 lady health workers",REPORTED,"Economic Survey 2024-25, via Express Tribune",https://tribune.com.pk/story/2550010/pakistans-health-spending-below-1-of-gdp-reveals-economic-survey-202425,FY2024-25,no,"Economic Survey itself not directly opened; relying on Tribune's reporting."
C-24,"National doctor-to-population ratio is roughly 1:1,000 (against WHO-recommended 3-4:1,000); rural ratios reported as low as 1:3,500, with some specific areas as extreme as 1:12,000 (Pakistan Medical Commission, 2023)",REPORTED,"Pakistan Medical Commission (2023), via Friday Times/Agricultural Economist summaries",https://www.thefridaytimes.com/25-Oct-2025/rural-healthcare-pakistan-rising-risks-limited-access-hidden-harm,2023,no,"Secondary reporting; PMC original source not directly accessed. Note: 319,000 doctors (C-23) against ~241.5 million population implies ~1:757 nationally, which is broadly consistent with this claim's '~1:1,000' figure."
C-25,"A widely-circulated claim of '1 doctor per 750,000 people' in Pakistan is arithmetically inconsistent with the 319,000-registered-doctors figure (C-23) and should not be used",UNRESOLVED,"WebSearch AI summary, source unclear",N/A,N/A,no,"Likely a garbled statistic or conflation with a narrow specialist/facility-level count. Excluded from the brief's usable figures; flagged here so it isn't accidentally reintroduced later."
C-26,"Per 2016 OECD data, Pakistan was the second-largest source country of foreign-trained doctors in both the US (12,454 doctors, ~6% of all foreign doctors, after India) and the UK (8,026 doctors, after India)",REPORTED,"OECD (2016 data), via riazhaq.com blog",http://www.riazhaq.com/2023/04/pakistan-is-second-biggest-source-of.html,2016,yes,"Directly read the blog post; the underlying OECD dataset itself was not independently accessed. Decade-old data - use only as historical/cumulative-stock context, not a current figure."
C-27,"Public-sector MBBS seats in Pakistan number roughly 4,800 nationally (Punjab ~2,400, Sindh ~1,200, KPK ~700, Balochistan ~500); public-college student fees run roughly Rs 20,000-100,000/year (~Rs 100,000-400,000 for 5 years), versus ~Rs 8-9 million for a private-college seat",REPORTED,"Maqsad Blog / MBBS fee-structure aggregator sites",https://blog.maqsad.io/blog/merit-of-medical-colleges-in-pakistan,2026,no,"These are student-facing fees, not government expenditure per seat. No government budget document (HEC or provincial health department) giving actual per-seat cost was found, so the $25,000 government-cost figure in C-15 cannot be independently reconstructed from this data."
